time ./waf --run "tor-example --use-nsc=false" | tee tor-example.txt

Waf: Entering directory `/home/ns3nsc/nstor/build'
Waf: Leaving directory `/home/ns3nsc/nstor/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (2.068s)
0 0 0 0 0 0 0 
remember 10.1.1.2 -> proxy1
remember 10.1.2.2 -> entry1
remember 10.1.3.2 -> btlnk
remember 10.1.4.2 -> exit1
remember 10.1.5.2 -> proxy2
remember 10.1.6.2 -> entry2
remember 10.1.7.2 -> proxy3
remember 10.1.8.2 -> entry3
remember 10.1.9.2 -> exit2
0.01 0 0 0 0 0 0 
0.02 0 0 0 0 0 0 
0.03 0 0 0 0 0 0 
0.04 0 0 0 0 0 0 
0.05 0 0 0 0 0 0 
0.06 0 0 0 0 0 0 
0.07 0 0 0 0 0 0 
0.08 0 0 0 0 0 0 
0.09 0 0 0 0 0 0 
0.1 0 0 0 0 0 0 
0.11 0 0 0 0 0 0 
0.12 0 0 0 0 0 0 
0.13 0 0 0 0 0 0 
0.14 0 0 0 0 0 0 
0.15 0 0 0 0 0 0 
0.16 0 0 0 0 0 0 
0.17 0 0 0 0 0 0 
0.18 0 0 0 0 0 0 
0.19 0 0 0 0 0 0 
0.2 0 0 0 0 0 0 
0.21 0 0 0 0 0 0 
0.22 0 0 0 0 0 0 
0.23 0 0 0 0 0 0 
0.24 0 0 0 0 0 0 
0.25 0 0 0 0 0 0 
0.26 0 0 249000 0 0 0 
0.27 0 0 249000 0 0 0 
0.28 0 0 249000 0 0 0 
0.29 0 0 249000 0 0 0 
0.3 0 0 249000 0 0 0 
0.31 0 0 249000 0 0 0 
0.32 0 0 249000 498 0 0 
0.33 0 0 249000 498 0 0 
0.34 0 0 249000 498 0 0 
0.35 0 0 249000 498 0 0 
0.36 0 0 249000 498 0 0 
0.37 0 0 249000 498 0 0 
0.38 0 0 249000 498 0 0 
0.39 0 0 249000 498 0 0 
0.4 0 0 249000 498 0 0 
0.41 0 0 249000 498 0 0 
0.42 0 0 249000 498 0 0 
0.43 0 0 249000 498 0 0 
